order_id,customer_id,order_date,order_status,shipping_cost,tax_amount,total_amount
1,1,2023-10-17,returned,2.78,119.72,1619.0
2,1,2022-02-02,completed,0.74,102.07,1378.63
3,2,2023-12-20,completed,13.62,65.66,900.03
4,2,2022-06-13,completed,17.45,33.72,472.73
5,2,2022-12-19,completed,15.09,43.64,604.23
6,3,2023-01-23,completed,1.97,124.6,1684.03
7,3,2022-08-22,completed,19.33,34.77,488.68
8,3,2023-01-25,completed,6.95,96.87,1314.73
9,3,2023-10-13,returned,4.28,114.68,1552.42
10,3,2022-08-13,pending,17.12,32.36,453.95
11,3,2023-02-15,completed,6.69,131.95,1788.06
12,4,2023-02-10,completed,22.12,161.1,2196.91
13,5,2022-05-22,completed,12.74,34.56,479.24
14,5,2022-06-06,completed,15.69,249.75,3387.31
15,6,2023-11-30,completed,22.12,161.81,2206.51
16,7,2022-09-27,completed,24.3,97.02,1334.12
17,8,2022-07-23,completed,3.82,150.32,2033.16
18,8,2022-04-25,completed,23.23,53.54,745.98
19,9,2023-06-30,completed,19.15,118.8,1622.99
20,10,2023-09-14,completed,10.58,119.97,1630.13
21,10,2023-02-13,completed,24.88,126.35,1730.55
22,10,2023-08-26,completed,5.51,9.32,131.38
23,12,2022-03-11,returned,22.64,161.2,2198.86
24,12,2023-08-08,pending,14.41,69.51,952.76
25,12,2023-03-18,completed,8.86,75.59,1029.35
26,12,2022-07-14,completed,13.41,29.89,416.92
27,12,2023-07-18,completed,2.45,94.11,1272.91
28,12,2023-04-11,completed,7.13,264.97,3584.28
29,12,2023-06-28,completed,3.94,180.48,2440.43
30,12,2023-11-05,completed,14.59,92.61,1264.85
31,14,2023-09-29,completed,24.96,27.47,395.78
32,14,2022-09-29,completed,3.31,134.37,1817.31
33,14,2023-09-19,completed,24.6,177.83,2425.34
34,14,2022-08-04,completed,17.94,123.99,1691.82
35,14,2022-02-22,completed,2.31,113.38,1532.99
36,14,2022-01-10,completed,2.8,53.33,722.79
37,14,2022-05-11,returned,1.05,130.54,1763.39
38,15,2023-02-21,cancelled,24.35,70.04,969.94
39,15,2022-01-26,pending,4.48,193.91,2622.21
40,15,2022-04-21,completed,9.56,19.04,266.58
41,15,2023-04-17,cancelled,8.74,50.12,685.32
42,15,2022-03-13,completed,24.17,138.83,1898.36
43,16,2022-09-25,completed,4.46,237.22,3206.89
44,17,2022-04-29,completed,9.63,233.93,3167.63
45,17,2023-11-12,completed,23.02,269.46,3660.67
46,18,2023-01-24,completed,16.93,50.5,698.74
47,18,2022-08-04,completed,10.75,223.06,3022.08
48,18,2023-10-11,completed,15.48,27.17,382.32
49,18,2022-08-19,completed,20.16,112.73,1541.97
50,18,2022-03-16,pending,11.39,171.71,2329.43
51,18,2023-12-14,completed,12.95,36.76,509.27
52,19,2022-05-05,completed,11.41,296.88,4019.24
53,19,2023-07-16,completed,11.15,70.61,964.35
54,19,2022-10-11,completed,19.15,114.93,1570.68
55,19,2022-06-06,pending,17.66,27.54,389.46
56,19,2023-04-23,completed,10.39,145.79,1978.57
57,19,2022-01-21,completed,21.42,222.94,3031.05
58,19,2022-10-07,completed,10.9,54.04,740.44
59,19,2023-02-19,completed,18.1,208.77,2836.49
60,19,2023-04-18,completed,4.54,140.03,1894.95
61,20,2023-03-08,pending,6.31,30.16,413.49
62,21,2022-02-23,completed,25.0,26.22,378.96
63,21,2022-01-21,completed,15.53,73.11,1002.57
64,21,2022-09-20,completed,19.17,147.02,2004.0
65,21,2022-06-17,completed,24.12,37.21,526.48
66,22,2023-08-13,completed,16.93,226.94,3080.57
67,22,2022-05-04,pending,19.91,245.91,3339.75
68,22,2023-10-13,completed,22.29,269.3,3657.86
69,22,2023-08-30,completed,6.71,41.95,573.06
