event_id,user_id,event_type,event_timestamp,page_url,campaign_id
1,493,page_view,2025-08-09 14:09:09,/page/82,44.0
2,697,page_view,2025-07-24 14:09:09,/page/21,
3,905,signup,2025-08-03 14:09:09,/page/13,36.0
4,131,add_to_cart,2025-08-07 14:09:09,/page/63,
5,613,email_click,2025-07-30 14:09:09,/page/67,43.0
6,717,add_to_cart,2025-08-07 14:09:09,/page/32,
7,513,signup,2025-07-12 14:09:09,/page/2,
8,518,page_view,2025-07-19 14:09:09,/page/63,
9,46,signup,2025-07-17 14:09:09,/page/83,
10,31,signup,2025-07-13 14:09:09,/page/35,
11,989,signup,2025-08-09 14:09:09,/page/68,
12,698,purchase,2025-07-24 14:09:09,/page/57,
13,525,add_to_cart,2025-08-02 14:09:09,/page/2,
14,862,purchase,2025-07-25 14:09:09,/page/60,
15,887,purchase,2025-07-12 14:09:09,/page/85,
16,8,purchase,2025-07-20 14:09:09,/page/34,
17,190,email_click,2025-07-26 14:09:09,/page/8,
18,121,signup,2025-08-04 14:09:09,/page/71,32.0
19,811,signup,2025-08-03 14:09:09,/page/33,
20,85,signup,2025-07-11 14:09:09,/page/64,20.0
21,640,email_click,2025-07-18 14:09:09,/page/35,17.0
22,43,email_click,2025-07-13 14:09:09,/page/72,
23,324,email_click,2025-07-13 14:09:09,/page/28,
24,996,page_view,2025-08-05 14:09:09,/page/60,
25,447,page_view,2025-07-30 14:09:09,/page/92,9.0
26,635,email_click,2025-07-28 14:09:09,/page/100,
27,371,add_to_cart,2025-07-18 14:09:09,/page/27,41.0
28,921,add_to_cart,2025-08-09 14:09:09,/page/78,42.0
29,412,signup,2025-07-22 14:09:09,/page/26,
30,615,add_to_cart,2025-07-11 14:09:09,/page/32,
31,410,purchase,2025-07-11 14:09:09,/page/34,15.0
32,451,email_click,2025-08-10 14:09:09,/page/83,
33,362,purchase,2025-07-16 14:09:09,/page/8,43.0
34,214,add_to_cart,2025-07-27 14:09:09,/page/4,
35,999,email_click,2025-07-14 14:09:09,/page/46,
36,1000,purchase,2025-07-24 14:09:09,/page/1,
37,206,page_view,2025-08-06 14:09:09,/page/86,8.0
38,40,signup,2025-07-19 14:09:09,/page/67,
39,57,purchase,2025-07-12 14:09:09,/page/68,50.0
40,34,email_click,2025-07-19 14:09:09,/page/31,3.0
41,984,purchase,2025-07-12 14:09:09,/page/39,
42,460,add_to_cart,2025-07-19 14:09:09,/page/67,
43,845,signup,2025-07-17 14:09:09,/page/77,
44,601,email_click,2025-08-04 14:09:09,/page/96,
45,734,purchase,2025-07-15 14:09:09,/page/82,
46,539,page_view,2025-08-03 14:09:09,/page/48,34.0
47,498,add_to_cart,2025-08-05 14:09:09,/page/87,
48,892,add_to_cart,2025-07-25 14:09:09,/page/56,8.0
49,364,page_view,2025-07-23 14:09:09,/page/65,
50,372,purchase,2025-07-14 14:09:09,/page/83,
51,793,email_click,2025-07-28 14:09:09,/page/68,
52,345,purchase,2025-08-08 14:09:09,/page/76,
53,960,email_click,2025-08-09 14:09:09,/page/16,
54,745,email_click,2025-07-18 14:09:09,/page/43,16.0
55,514,signup,2025-07-18 14:09:09,/page/50,
56,347,page_view,2025-07-16 14:09:09,/page/91,32.0
57,289,email_click,2025-07-24 14:09:09,/page/95,
58,866,purchase,2025-07-19 14:09:09,/page/95,
59,140,purchase,2025-07-23 14:09:09,/page/37,
60,43,add_to_cart,2025-08-01 14:09:09,/page/43,
61,872,signup,2025-07-12 14:09:09,/page/77,22.0
62,361,email_click,2025-07-16 14:09:09,/page/90,13.0
63,882,purchase,2025-07-30 14:09:09,/page/66,
64,64,email_click,2025-07-14 14:09:09,/page/97,42.0
65,458,signup,2025-08-06 14:09:09,/page/100,
66,787,signup,2025-07-27 14:09:09,/page/81,
67,279,purchase,2025-07-26 14:09:09,/page/74,23.0
68,901,page_view,2025-08-01 14:09:09,/page/17,
69,152,purchase,2025-07-27 14:09:09,/page/95,
70,255,signup,2025-07-16 14:09:09,/page/77,
71,18,signup,2025-08-09 14:09:09,/page/8,21.0
72,373,email_click,2025-07-13 14:09:09,/page/37,
73,583,signup,2025-08-01 14:09:09,/page/60,46.0
74,915,page_view,2025-07-14 14:09:09,/page/56,
75,695,email_click,2025-08-04 14:09:09,/page/44,42.0
76,501,page_view,2025-07-14 14:09:09,/page/20,
77,227,purchase,2025-07-23 14:09:09,/page/4,49.0
78,442,signup,2025-07-27 14:09:09,/page/34,
79,22,signup,2025-07-16 14:09:09,/page/39,
80,934,add_to_cart,2025-08-06 14:09:09,/page/63,
81,407,purchase,2025-07-26 14:09:09,/page/26,18.0
82,377,page_view,2025-07-15 14:09:09,/page/89,
83,106,signup,2025-08-02 14:09:09,/page/82,3.0
84,290,purchase,2025-07-31 14:09:09,/page/44,
85,297,purchase,2025-07-16 14:09:09,/page/46,
86,910,purchase,2025-07-31 14:09:09,/page/56,7.0
87,572,add_to_cart,2025-07-28 14:09:09,/page/27,
88,674,signup,2025-07-12 14:09:09,/page/90,48.0
89,425,email_click,2025-07-28 14:09:09,/page/7,
90,628,purchase,2025-07-16 14:09:09,/page/98,
91,762,email_click,2025-07-16 14:09:09,/page/12,
92,778,page_view,2025-07-28 14:09:09,/page/38,
93,91,purchase,2025-07-26 14:09:09,/page/43,
94,329,add_to_cart,2025-07-24 14:09:09,/page/12,
95,468,email_click,2025-07-23 14:09:09,/page/30,
96,393,page_view,2025-07-24 14:09:09,/page/100,43.0
97,249,page_view,2025-07-11 14:09:09,/page/86,
98,537,email_click,2025-08-09 14:09:09,/page/67,34.0
99,662,page_view,2025-07-30 14:09:09,/page/12,
100,810,email_click,2025-07-30 14:09:09,/page/26,
101,111,purchase,2025-08-08 14:09:09,/page/27,
102,416,purchase,2025-08-05 14:09:09,/page/7,
103,195,add_to_cart,2025-07-19 14:09:09,/page/91,
104,444,add_to_cart,2025-07-23 14:09:09,/page/64,
105,932,page_view,2025-08-05 14:09:09,/page/86,
106,557,email_click,2025-08-03 14:09:09,/page/82,
107,967,page_view,2025-08-05 14:09:09,/page/72,
108,541,purchase,2025-08-04 14:09:09,/page/37,28.0
109,102,signup,2025-07-25 14:09:09,/page/99,
110,255,purchase,2025-07-29 14:09:09,/page/18,34.0
111,307,email_click,2025-08-03 14:09:09,/page/90,
112,191,signup,2025-08-01 14:09:09,/page/56,
113,153,signup,2025-08-02 14:09:09,/page/40,
114,264,signup,2025-08-10 14:09:09,/page/83,
115,701,add_to_cart,2025-07-17 14:09:09,/page/98,
116,445,signup,2025-07-15 14:09:09,/page/31,
117,667,purchase,2025-07-16 14:09:09,/page/67,
118,563,signup,2025-07-19 14:09:09,/page/57,19.0
119,625,email_click,2025-08-02 14:09:09,/page/22,
120,457,page_view,2025-07-25 14:09:09,/page/40,16.0
121,836,email_click,2025-07-29 14:09:09,/page/28,36.0
122,721,purchase,2025-07-22 14:09:09,/page/32,
123,339,signup,2025-07-31 14:09:09,/page/52,
124,201,email_click,2025-08-06 14:09:09,/page/36,
125,642,signup,2025-08-06 14:09:09,/page/75,35.0
126,579,signup,2025-07-11 14:09:09,/page/35,37.0
127,400,signup,2025-07-29 14:09:09,/page/86,33.0
128,982,page_view,2025-08-08 14:09:09,/page/85,11.0
129,143,email_click,2025-07-15 14:09:09,/page/19,
130,666,add_to_cart,2025-07-17 14:09:09,/page/35,
131,141,add_to_cart,2025-07-26 14:09:09,/page/7,
132,236,signup,2025-08-04 14:09:09,/page/91,
133,55,signup,2025-08-02 14:09:09,/page/87,13.0
134,424,signup,2025-07-25 14:09:09,/page/39,33.0
135,335,signup,2025-07-11 14:09:09,/page/65,
136,272,purchase,2025-07-12 14:09:09,/page/42,
137,820,purchase,2025-07-20 14:09:09,/page/87,42.0
138,668,purchase,2025-07-29 14:09:09,/page/59,
139,694,page_view,2025-07-24 14:09:09,/page/7,21.0
140,871,add_to_cart,2025-08-08 14:09:09,/page/51,
141,668,signup,2025-07-26 14:09:09,/page/34,
